CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
448000,SFDPH,09TH ST,MISSION ST,MINNA ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
449000,SFDPH,09TH ST,MINNA ST,NATOMA ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
450000,SFDPH,09TH ST,NATOMA ST,HOWARD ST,,,NB,3,1/10/12,TUESDAY,10,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,28,21,,,,,,,,,
21583000,SFDPH,SICKLES AVE,SICKLES AVE,,,,WB,4,1/11/12,WEDNESDAY,11,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
21583000,SFDPH,SICKLES AVE,SICKLES AVE,,,,EB,4,1/11/12,WEDNESDAY,11,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
12665000,SFDPH,TOWNSEND ST,06TH ST,07TH ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,25,,,,,,,,,
12665000,SFDPH,TOWNSEND ST,06TH ST,07TH ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,25,,,,,,,,,
12656000,SFDPH,TOWNSEND ST,02ND ST,STANFORD ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12657000,SFDPH,TOWNSEND ST,STANFORD ST,CLARENCE PL,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12658000,SFDPH,TOWNSEND ST,CLARENCE PL,03RD ST,,,EB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,23,,,,,,,,,
12656000,SFDPH,TOWNSEND ST,02ND ST,STANFORD ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
12657000,SFDPH,TOWNSEND ST,STANFORD ST,CLARENCE PL,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
12658000,SFDPH,TOWNSEND ST,CLARENCE PL,03RD ST,,,WB,5,1/12/12,THURSDAY,12,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,27,21,,,,,,,,,
3080000,SFDPH,BRANNAN ST,04TH ST,05TH ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
3088000,SFDPH,BRANNAN ST,07TH ST,08TH ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,26,,,,,,,,,
3080000,SFDPH,BRANNAN ST,04TH ST,05TH ST,,,WB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,34,24,,,,,,,,,
3072000,SFDPH,BRANNAN ST,DELANCEY ST,COLIN P KELLY JR ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,24,,,,,,,,,
3073000,SFDPH,BRANNAN ST,COLIN P KELLY JR ST,02ND ST,,,EB,4,1/18/12,WEDNESDAY,18,1,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,29,24,,,,,,,,,
