CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
12279201,SFMTA,SUNSET BLVD,MORAGA ST,NORIEGA ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,,13555,1049,1308,36,32,,,,,,,,,
12279101,SFMTA,SUNSET BLVD,MORAGA ST,NORIEGA ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Arterial,,13287,1161,1000,35,31,,,,,,,,,
914201,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,29765,1775,1976,37,30,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,33148,2243,2169,37,30,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,28317,1650,1828,37,29,,,,,,,,,
926101,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,22833,1205,1480,36,29,,,,,,,,,
926201,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,28874,1911,1800,36,29,,,,,,,,,
909201,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,28088,1753,1882,34,29,,,,,,,,,
920201,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,30571,1873,1958,34,25,,,,,,,,,
8357201,SFMTA,LINCOLN WAY,19TH AVE,20TH AVE,,Midblock,W,5,10/15/2015,THURSDAY,15,10,2015,Arterial,,14216,803,1166,29,23,,,,,,,,,
8357101,SFMTA,LINCOLN WAY,19TH AVE,20TH AVE,,Midblock,E,5,10/15/2015,THURSDAY,15,10,2015,Arterial,,11666,920,791,26,19,,,,,,,,,
909101,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,33085,2007,2399,25,18,,,,,,,,,
920101,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Arterial,IDAX ,29136,1668,1884,38,33,,,,,,,,,
1804000,SFMTA,36TH AVE,JUDAH ST,KIRKHAM ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,684,49,55,33,28,,,,,,,,,
2031000,SFMTA,46TH AVE,TARAVAL ST,SANTIAGO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1082,110,86,30,25,,,,,,,,,
2031000,SFMTA,46TH AVE,TARAVAL ST,SANTIAGO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1143,75,112,29,25,,,,,,,,,
1986000,SFMTA,44TH AVE,RIVERA ST,SANTIAGO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,605,50,58,30,24,,,,,,,,,
1986000,SFMTA,44TH AVE,RIVERA ST,SANTIAGO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,465,43,47,30,24,,,,,,,,,
1749000,SFMTA,34TH AVE,LAWTON ST,KIRKHAM ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,626,74,59,29,24,,,,,,,,,
1749000,SFMTA,34TH AVE,LAWTON ST,KIRKHAM ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,691,58,73,29,24,,,,,,,,,
1931000,SFMTA,42ND AVE,FULTON ST,CABRILLO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,484,31,45,29,24,,,,,,,,,
1804000,SFMTA,36TH AVE,JUDAH ST,KIRKHAM ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,246,20,25,30,24,,,,,,,,,
1850000,SFMTA,38TH AVE,FULTON ST,CABRILLO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,212,24,38,28,22,,,,,,,,,
1850000,SFMTA,38TH AVE,FULTON ST,CABRILLO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,184,14,37,26,22,,,,,,,,,
1910000,SFMTA,41ST AVE,LINCOLN WAY,IRVING ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1726,281,147,26,22,,,,,,,,,
1910000,SFMTA,41ST AVE,LINCOLN WAY,IRVING ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1760,122,222,26,22,,,,,,,,,
1931000,SFMTA,42ND AVE,FULTON ST,CABRILLO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,448,27,42,26,21,,,,,,,,,
1733000,SFMTA,33RD AVE,ORTEGA ST,PACHECO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,275,26,31,26,20,,,,,,,,,
1733000,SFMTA,33RD AVE,ORTEGA ST,PACHECO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,300,23,30,26,20,,,,,,,,,
3187000,SFMTA,BRODERICK ST,HAIGHT ST,WALLER ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,645,49,83,25,20,,,,,,,,,
3187000,SFMTA,BRODERICK ST,HAIGHT ST,WALLER ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,875,119,65,23,19,,,,,,,,,
1644000,SFMTA,30TH AVE,BALBOA ST,CABRILLO ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1843,256,158,28,23,,,,,,,,,
1644000,SFMTA,30TH AVE,BALBOA ST,CABRILLO ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,1930,189,205,28,23,,,,,,,,,
1876000,SFMTA,39TH AVE,RIVERA ST,QUINTARA ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,566,23,97,27,23,,,,,,,,,
1876000,SFMTA,39TH AVE,RIVERA ST,QUINTARA ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,502,34,78,27,23,,,,,,,,,
1957000,SFMTA,43RD AVE,LAWTON ST,KRIKHAM ST,,Midblock,S,5,10/15/2015,THURSDAY,15,10,2015,Residential,,511,34,63,26,20,,,,,,,,,
1957000,SFMTA,43RD AVE,LAWTON ST,KRIKHAM ST,,Midblock,N,5,10/15/2015,THURSDAY,15,10,2015,Residential,,910,128,92,23,17,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,24820,1493,1541,40,34,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,31153,1874,1880,32,25,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,20993,1178,1264,32,24,,,,,,,,,
914101,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,29320,1662,1816,40,35,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,34530,2177,2154,37,30,,,,,,,,,
914201,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,31070,1679,1945,37,29,,,,,,,,,
926201,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,30157,1805,1855,35,29,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,28855,1612,1852,36,28,,,,,,,,,
909201,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,30218,1726,1925,34,28,,,,,,,,,
920201,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,31683,1822,2012,34,27,,,,,,,,,
926101,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,23145,1321,1415,35,22,,,,,,,,,
909101,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,32722,1897,2088,24,16,,,,,,,,,
920101,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,N,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,29301,1767,1887,37,32,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,S,6,10/16/2015,FRIDAY,16,10,2015,Arterial,IDAX ,29592,1826,1799,36,30,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,24069,1545,1542,41,35,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,27823,1751,1811,37,30,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,29299,1851,1933,33,26,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,20158,1239,1237,32,24,,,,,,,,,
920101,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,29340,1835,1904,37,32,,,,,,,,,
914101,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,47347,2129,4008,40,32,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,32383,2040,2068,37,31,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,28320,1695,1868,38,29,,,,,,,,,
914201,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,27385,2364,2097,36,29,,,,,,,,,
926201,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,28769,1833,1912,36,29,,,,,,,,,
909201,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,30008,1876,1969,33,27,,,,,,,,,
926101,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,21947,1350,1428,36,22,,,,,,,,,
909101,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,N,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,29974,2022,1937,24,16,,,,,,,,,
920201,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,S,7,10/17/2015,SATURDAY,17,10,2015,Arterial,IDAX ,30230,1870,1947,33,27,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,22806,1487,1575,41,35,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,26126,1719,1784,37,30,,,,,,,,,
928202,SFMTA,19TH AVE,WINSTON DR,HOLLOWAY AVE,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,28959,1947,2010,34,27,,,,,,,,,
927201,SFMTA,19TH AVE,EUCALYPTUS DR,WINSTON DR,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,19335,1252,1353,33,26,,,,,,,,,
914101,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,51096,3851,3599,43,35,,,,,,,,,
920101,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,27486,1839,1875,37,32,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,30353,2088,2061,38,31,,,,,,,,,
914201,SFMTA,19TH AVE,MORAGA ST,NORIEGA ST,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,12619,940,895,37,31,,,,,,,,,
924201,SFMTA,19TH AVE,WAWONA ST,SLOAT BLVD,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,26468,1689,1813,38,30,,,,,,,,,
926201,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,26588,1738,1800,36,29,,,,,,,,,
909201,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,28923,1958,1949,33,28,,,,,,,,,
920201,SFMTA,19TH AVE,SANTIAGO ST,TARAVAL ST,,Midblock,S,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,28717,1889,1881,34,27,,,,,,,,,
926101,SFMTA,19TH AVE,OCEAN AVE,EUCALYPTUS DR,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,21170,1437,1510,36,25,,,,,,,,,
909101,SFMTA,19TH AVE,LINCOLN WAY,IRVING ST,,Midblock,N,1,10/18/2015,SUNDAY,18,10,2015,Arterial,IDAX ,30111,2003,2017,24,17,,,,,,,,,
11282000,SFMTA,CAPITOL AVE,CAPITOL AVE,SAGEMORE ST (END),,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,184,10,31,16,13,,,,,,,,,
11282000,SFMTA,CAPITOL AVE,CAPITOL AVE,SAGEMORE ST (END),,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,165,7,37,13,10,,,,,,,,,
3667000,SFMTA,CAPITOL AVE,LAKEVIEW ST,GRAFTON ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,1283,120,141,28,24,,,,,,,,,
3667000,SFMTA,CAPITOL AVE,LAKEVIEW ST,GRAFTON ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,1093,65,125,28,24,,,,,,,,,
8850000,SFMTA,MASONIC AVE,GROVE ST,HAYES ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,18617,1052,1347,29,23,,,,,,,,,
8843201,SFMTA,MASONIC AVE,ANZA ST,GEARY BLVD,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,18923,1048,1470,28,23,,,,,,,,,
2492000,SFMTA,CESAR CHAVEZ ST,CHURCH ST,DOLORES ST,,Midblock,W,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,3898,241,350,27,23,,,,,,,,,
7500101,SFMTA,JERROLD AVE,TOLAND ST,RANKIN ST,,Midblock,W,3,10/20/2015,TUESDAY,20,10,2015,Residential,COUNTS UNLIMITED,4863,413,297,30,22,,,,,,,,,
8846000,SFMTA,MASONIC AVE,TURK ST,GOLDEN GATE AVE,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,15953,1511,1072,29,22,,,,,,,,,
8850000,SFMTA,MASONIC AVE,GROVE ST,HAYES ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,16962,1361,1119,28,22,,,,,,,,,
2492000,SFMTA,CESAR CHAVEZ ST,CHURCH ST,DOLORES ST,,Midblock,E,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,3514,361,226,28,22,,,,,,,,,
7500101,SFMTA,JERROLD AVE,TOLAND ST,RANKIN ST,,Midblock,E,3,10/20/2015,TUESDAY,20,10,2015,Residential,COUNTS UNLIMITED,3614,243,233,28,21,,,,,,,,,
3872000,SFMTA,CERRITOS AVE,LUNADO WAY,MONCADA WAY,,Midblock,W,3,10/20/2015,TUESDAY,20,10,2015,Residential,,2114,242,156,25,21,,,,,,,,,
8846000,SFMTA,MASONIC AVE,TURK ST,GOLDEN GATE AVE,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,17579,929,1474,26,20,,,,,,,,,
3830000,SFMTA,CAYUGA AVE,SANTA YNEZ AVE,SAN JUAN AVE,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,495,59,65,25,20,,,,,,,,,
3654000,SFMTA,CAPISTRANO AVE,SAN JOSE AVE,SANTA ROSA AVE,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,276,22,32,26,20,,,,,,,,,
2534000,SFMTA,ATHENS ST,AVALON ST,EXCELSIOR ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,269,23,16,25,20,,,,,,,,,
3654000,SFMTA,CAPISTRANO AVE,SAN JOSE AVE,SANTA ROSA AVE,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,207,22,19,25,20,,,,,,,,,
3830000,SFMTA,CAYUGA AVE,SANTA YNEZ AVE,SAN JUAN AVE,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,475,52,56,25,20,,,,,,,,,
4041000,SFMTA,MONTEREY BLVD (BIKE LANE),SAN JOSE AVE,,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,197,41,19,22,19,,,,,,,,,
3675000,SFMTA,CAPP ST,18TH ST,19TH ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,2158,109,159,25,19,,,,,,,,,
8843101,SFMTA,MASONIC AVE,ANZA ST,GEARY BLVD,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,15339,1206,1171,24,19,,,,,,,,,
3872000,SFMTA,CERRITOS AVE,LUNADO WAY,MONCADA WAY,,Midblock,E,3,10/20/2015,TUESDAY,20,10,2015,Residential,,2157,119,199,22,19,,,,,,,,,
3675000,SFMTA,CAPP ST,18TH ST,19TH ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,2122,142,134,23,18,,,,,,,,,
3111000,SFMTA,BRENTWOOD AVE,FERNWOOD DR,YERBA BUEBA ST,,Midblock,E,3,10/20/2015,TUESDAY,20,10,2015,Residential,,212,23,23,21,18,,,,,,,,,
3111000,SFMTA,BRENTWOOD AVE,FERNWOOD DR,YERBA BUEBA ST,,Midblock,W,3,10/20/2015,TUESDAY,20,10,2015,Residential,,207,27,18,21,18,,,,,,,,,
2534000,SFMTA,ATHENS ST,AVALON ST,EXCELSIOR ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,185,12,16,23,17,,,,,,,,,
2743000,SFMTA,BARTLETT ST,22ND ST,23RD ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,1234,72,122,22,17,,,,,,,,,
3115000,SFMTA,BREWSTER ST / MULLEN AVE,MONTCALM ST,FRANCONIA ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,216,26,20,18,15,,,,,,,,,
3115000,SFMTA,BREWSTER ST / MULLEN AVE,MONTCALM ST,FRANCONIA ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,144,10,21,18,14,,,,,,,,,
2743000,SFMTA,BARTLETT ST,22ND ST,23RD ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,24,4,5,17,11,,,,,,,,,
4041000,SFMTA,MONTEREY BLVD,SAN JOSE AVE,,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Arterial,,1670,126,142,,,,,,,,,,,
3833000,SFMTA,CAYUGA AVE,ONONDAGA AVE,OCEAN AVE,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,772,79,86,25,20,,,,,,,,,
3833000,SFMTA,CAYUGA AVE,ONONDAGA AVE,OCEAN AVE,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,776,108,97,25,19,,,,,,,,,
2719000,SFMTA,BANKS ST,TOMPKINS AVE,OGDEN ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,135,35,10,18,16,,,,,,,,,
2718000,SFMTA,BANKS ST,JARBOE ST,TOMPKINS ST,,Midblock,N,3,10/20/2015,TUESDAY,20,10,2015,Residential,,142,16,23,22,15,,,,,,,,,
2718000,SFMTA,BANKS ST,JARBOE ST,TOMPKINS ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,314,60,30,20,15,,,,,,,,,
2719000,SFMTA,BANKS ST,TOMPKINS AVE,OGDEN ST,,Midblock,S,3,10/20/2015,TUESDAY,20,10,2015,Residential,,224,18,24,16,13,,,,,,,,,
4041000,SFMTA,MONTEREY BLVD (BIKE LANE),SAN JOSE AVE,,,Midblock,N,4,10/21/2015,WEDNESDAY,21,10,2015,Arterial,,254,38,20,23,20,,,,,,,,,
4041000,SFMTA,MONTEREY BLVD (BIKE LANE),SAN JOSE AVE,,,Midblock,N,5,10/22/2015,THURSDAY,22,10,2015,Arterial,,205,40,,23,19,,,,,,,,,
10335000,SFMTA,PENNSYLVANIA AVE ,20TH ST,22ND ST,,Midblock,N,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,2411,206,245,33,27,,,,,,,,,
10336000,SFMTA,PENNSYLVANIA AVE ,22ND ST,23RD ST,,Midblock,N,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,3407,325,287,32,27,,,,,,,,,
10336000,SFMTA,PENNSYLVANIA AVE ,22ND ST,23RD ST,,Midblock,S,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,3004,211,274,30,24,,,,,,,,,
10335000,SFMTA,PENNSYLVANIA AVE ,20TH ST,22ND ST,,Midblock,S,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,1573,123,147,29,24,,,,,,,,,
611000,SFMTA,15TH AVE,BALBOA ST,CABRILLO ST,,Midblock,S,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,834,63,98,29,23,,,,,,,,,
611000,SFMTA,15TH AVE,BALBOA ST,CABRILLO ST,,Midblock,N,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,917,130,80,28,23,,,,,,,,,
13212000,SFMTA,VERMONT ST,MARIPOSA ST,17TH ST,,Midblock,S,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,COUNTS UNLIMITED,9678,687,517,28,23,,,,,,,,,
8622000,SFMTA,MAGELLAN AVE,12TH AVE,CORTES AVE,,Midblock,W,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,217,18,29,28,22,,,,,,,,,
8622000,SFMTA,MAGELLAN AVE,12TH AVE,CORTES AVE,,Midblock,E,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,202,47,21,26,21,,,,,,,,,
8621000,SFMTA,MAGELLAN AVE,CORTES AVE,MONTALVO AVE,,Midblock,E,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,619,139,50,25,21,,,,,,,,,
8621000,SFMTA,MAGELLAN AVE,CORTES AVE,MONTALVO AVE,,Midblock,W,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,431,41,66,25,21,,,,,,,,,
6891000,SFMTA,HERNANDEZ AVE,LAGUNA HONDA BLVD,VASQUEZ AVE,,Midblock,W,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,978,111,115,22,18,,,,,,,,,
6891000,SFMTA,HERNANDEZ AVE,LAGUNA HONDA BLVD,VASQUEZ AVE,,Midblock,E,4,11/4/2015,WEDNESDAY,4,11,2015,Residential,,533,72,62,22,17,,,,,,,,,
8460101,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,E,5,11/5/2015,THURSDAY,5,11,2015,Arterial,IDAX ,22002,1715,1335,31,25,,,,,,,,,
8464101,SFMTA,LOMBARD ST,BRODERICK ST,DIVISADERO ST,,Midblock,E,5,11/5/2015,THURSDAY,5,11,2015,Arterial,IDAX ,23448,1801,1609,30,23,,,,,,,,,
8460201,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,W,5,11/5/2015,THURSDAY,5,11,2015,Arterial,IDAX ,22887,1204,1659,30,22,,,,,,,,,
8464201,SFMTA,LOMBARD ST,BRODERICK ST,DIVISADERO ST,,Midblock,W,5,11/5/2015,THURSDAY,5,11,2015,Arterial,IDAX ,23845,1249,1897,30,22,,,,,,,,,
8460101,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,E,6,11/6/2015,FRIDAY,6,11,2015,Arterial,IDAX ,22330,1739,1285,31,25,,,,,,,,,
8464101,SFMTA,LOMBARD ST,BRODERICK ST,DIVISADERO ST,,Midblock,E,6,11/6/2015,FRIDAY,6,11,2015,Arterial,IDAX ,24007,1779,1494,30,23,,,,,,,,,
8460201,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,W,6,11/6/2015,FRIDAY,6,11,2015,Arterial,IDAX ,23193,1269,1571,29,23,,,,,,,,,
8464201,SFMTA,LOMBARD ST,BRODERICK ST,DIVISADERO ST,,Midblock,W,6,11/6/2015,FRIDAY,6,11,2015,Arterial,IDAX ,24277,1432,1771,30,22,,,,,,,,,
8460101,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,E,7,11/7/2015,SATURDAY,7,11,2015,Arterial,IDAX ,21288,1344,1392,32,25,,,,,,,,,
8464201,SFMTA,LOMBARD ST,BRODERICK ST,DIVISADERO ST,,Midblock,W,7,11/7/2015,SATURDAY,7,11,2015,Arterial,IDAX ,24160,1669,1771,30,24,,,,,,,,,
8460201,SFMTA,LOMBARD ST,STEINER ST,FILLMORE ST,,Midblock,W,7,11/7/2015,SATURDAY,7,11,2015,Arterial,IDAX ,22815,1432,1500,30,23,,,,,,,,,
