,Unnamed: 0,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
1429,1429,DE ANZA RD,MISSION BAY DR,32.7981685,-117.2158279,32.8062185,-117.2190033,21686
1430,1430,DE SOTO ST,MISSION BAY DR,32.807301,-117.217667,32.8062185,-117.2190033,35430
1431,1431,DEAUVILLE ST,REO DR,32.67347,-117.065399,32.664907,-117.0575358,1099
1432,1432,DECORO ST,NOBEL DR,32.8641391,-117.2142307,32.8684586,-117.2278843,171273
1433,1433,DEEP DELL  RD,PARKWOOD  DR,32.69862,-117.034698,32.8684586,-117.2278843,14406
1434,1434,DEEP DELL CT,PARADISE VALLEY RD,32.695793,-117.030289,32.688251,-117.048828,3185
1435,1435,DEEP DELL CT,PARADISE VY RD,32.695793,-117.030289,32.688251,-117.048828,23316
1436,1436,DEEP DELL RD,GOODE ST,32.69862,-117.034698,32.688015,-117.030937,1272
1437,1437,DEEP DELL RD,PARKWOOD DR,32.69862,-117.034698,32.688015,-117.030937,16590
1438,1438,DEEP DELL RD,S MEADOWBROOK DR,32.69862,-117.034698,32.6996888,-117.0290789,16559
1439,1439,DEERFIELD ST,JACKSON DR,32.814621,-117.060944,32.6996888,-117.0290789,102815
1440,1440,DEERING ST,WORTHING AV,32.9177109,-117.1459717,32.9176778,-117.1451413,15882
1441,1441,DEEROCK PL,MEADOWBROOK  DR,32.704441,-117.034767,32.9176778,-117.1451413,7912
1442,1442,DEEROCK PL,MEADOWBROOK DR,32.704441,-117.034767,32.9176778,-117.1451413,6955
1443,1443,DEERPARK DR,COWLEY WY,32.7885859,-117.190678,32.8005788,-117.1938632,22386
1444,1444,DEFREITAS AV,OVIEDO ST,32.9647183,-117.1277218,32.9677237,-117.1324493,35324
1445,1445,DEL CERRO AV,HOPEDALE CT,32.7807081,-117.0597223,32.792553,-117.055069,5138
1446,1446,DEL CERRO BL,LAMBDA DR,32.7807081,-117.0597223,32.7846616,-117.0628029,18000
1447,1447,DEL MAR AV,CORONADO AV,32.7297982,-117.2392929,32.5764872,-117.0857686,11358
1448,1448,DEL MAR AV,POINT LOMA AV,32.7297982,-117.2392929,32.7295639,-117.2416335,21527
1449,1449,DEL MAR HEIGHTS  RD,HALF MILE  DR,32.9485786,-117.2593425,32.9621547,-117.2334332,2728
1450,1450,DEL MAR HEIGHTS RD,PACIFIC HIGHLANDS RANCH  RD,32.9485786,-117.2593425,32.9673242,-117.1941198,22915
1451,1451,DEL MAR HEIGHTS RD,SEAHORN CR,32.9485786,-117.2593425,32.9673242,-117.1941198,12685
1452,1452,DEL MAR HILLS DR,HIGH BLUFF DR,32.951989999999995,-117.24178487971488,32.9438974,-117.2395483,233860
1453,1453,DEL MAR HTS RD,BRIXTON PL,32.9485786,-117.2593425,32.957241,-117.219528,25678
1454,1454,DEL MAR HTS RD,CAMINITO CAMPANEO RD,32.9485786,-117.2593425,32.953621,-117.214104,11450
1455,1455,DEL MAR HTS RD,LOZANA RD,32.9485786,-117.2593425,32.952908,-117.249687,15689
1456,1456,DEL MAR HTS RD,PACIFIC HIGHLANDS RH PY,32.9485786,-117.2593425,32.952908,-117.249687,18634
1457,1457,DEL MAR HTS RD,QUARTER MILE DR,32.9485786,-117.2593425,32.9565769,-117.2344484,120286
1458,1458,DEL MAR HTS RD,SEAHORN CR,32.9485786,-117.2593425,32.9565769,-117.2344484,6755
1459,1459,DEL MAR HTS W RD,DEL MAR HTS E RD,32.9485786,-117.2593425,32.9565769,-117.2344484,2646
1460,1460,DEL MAR TRAILS   RD,PILON POINT ,32.9447431,-117.2248203,32.942608,-117.224579,1169
1461,1461,DEL MAR TRAILS RD,WORSCH WY,32.9447431,-117.2248203,32.944084,-117.225868,3105
1462,1462,DEL PASO AV,CAMINO RICO AV,32.795574,-117.058937,32.944084,-117.225868,2080
1463,1463,DEL SOL  BL,SEA FIRE PT,32.795574,-117.058937,32.5709909,-117.018763,14102
1464,1464,DEL SOL BL,CARNELL AV,32.795574,-117.058937,32.572258,-117.063766,40514
1465,1465,DEL SOL BL,ENERO ST,32.795574,-117.058937,32.574093,-117.044456,2252
1466,1466,DEL SOL BL,MARCWADE DR,32.795574,-117.058937,32.573074,-117.045418,1992
1467,1467,DEL SOL BL,SEA FIRE PT,32.795574,-117.058937,32.5709909,-117.018763,2040
1468,1468,DEL SOL WY,DENNERY RD,32.574226,-117.042213,32.5777686,-117.0349102,22295
1469,1469,DEL SUR BL,PICADOR  BL,32.567284,-117.058037,32.5777686,-117.0349102,8699
1470,1470,DEL SUR BL,PICADOR BL,32.567284,-117.058037,32.5777686,-117.0349102,41600
