,index,lat,lng
131,ANDERSON PL,32.74423,-117.1600968
132,ANGELIQUE ST,32.931087,-117.072006
133,ANNRAE ST,32.8019882,-117.1533879
134,ANTIEM ST,32.8153601,-117.1593161
135,APOLLO ST,32.8078572,-117.1625372
136,APPERT CT,32.7937583,-117.1745867
137,APPLETON ST,32.8370723,-117.1871557
138,APRIL CT,32.8501794,-117.204195
139,AQUARIUS DR,32.9302347,-117.1398061
140,AQUITAINE CT,32.9421531,-117.2026661
141,ARAGON  DR,32.84553105,-117.12744455
142,ARAGON DR,32.748909,-117.052223
143,ARANDA AV,32.831402,-117.26944
144,ARBOR DR,32.7538174,-117.1612766
145,ARBUTUS ST,32.8985973,-117.2200679
146,ARCHWOOD AV,32.7935115,-117.0946534
147,ARCTURUS WY,32.9271284,-117.132622
148,ARDATH LN,32.850246,-117.2503787
149,AREY DR,32.5787533,-117.0516959
150,ARIANE DR,32.8277637,-117.2260007
151,ARISTA ST,32.7558832,-117.1894041
152,ARIZONA ST,32.75219,-117.137573
153,ARJONS DR,32.8944372,-117.1472132
154,ARMOUR ST,32.8199884,-117.151969
155,ARMSTRONG ST,32.803557,-117.1628414
156,AROSA ST,32.7652046,-117.0668553
157,ARRIBA ST,32.8614599,-117.2235932
158,ARROW ROCK AV,32.9053448,-117.1403169
159,ARROWWOOD DR,32.700378,-117.031212
160,ARROYO DR,32.628632,-117.026077
161,ARROYO SECO WY,32.6983876,-117.0536488
162,ARTESIAN  RD,33.020065,-117.15242
163,ARTESIAN (FG) TL,33.020065,-117.15242
164,ARUCAUNA WY,32.940216,-117.161087
165,ARVERNE ST,32.8155687,-117.1702889
166,ASH ST,32.7199018,-117.1564637
167,ASHFORD CT,32.8025175,-117.1594217
168,ASHFORD ST,32.8046519,-117.159975
169,ASHLEY FALLS CT,32.958366,-117.207764
170,ASHLEY FALLS DR,32.9525782,-117.2108768
171,ATASCADERO  DR,32.7388688,-117.234379
172,ATASCADERO DR,32.7388688,-117.234379
173,ATHERTON AV,32.561501,-117.083504
174,ATLAS ST,32.8076767,-117.158229
175,AUBURN DR,32.741562,-117.08876
176,AUTO CIRCLE ,32.7647187,-117.1539685
177,AUTO CIRCLE ST,32.7647187,-117.1539685
178,AUTO CR,32.7647187,-117.1539685
179,AUTUMN GOLD WY,32.9636339,-117.1829443
180,AVATI DR,32.817471,-117.215591
181,AVENIDA ABEJA ,33.0048598,-117.0947649
182,AVENIDA FIESTA RD,32.820389,-117.232697
183,AVENIDA FUENTE N RD,32.5569864,-116.9613988
184,AVENIDA MIROLA ,32.830822,-117.268677
185,AVENIDA PLAYA ,32.5722365,-117.0217191
186,AVENIDA RIO ,32.7665806,-117.1643472
187,AVENIDA VENUSTO ,33.001015,-117.075912
188,AVENIDA VISTA ST,32.76157,-117.103157
189,AVENIDA VISTAS ,32.5822673,-117.0092224
190,AVERIL RD,32.558743,-117.054283
191,AVIARY DR,32.9045717,-117.0993499
192,AZALEA DR,32.7446698,-117.2199914
193,AZUL ST,32.8715857,-117.2455008
194,Avenida Abeja  ,33.0048598,-117.0947649
195,B ST,32.7178314,-117.1537011
196,B WILSON DR,32.725886,-117.1432262
197,BABAUTA  RD,32.9369273,-117.1234372
198,BABAUTA RD,32.9369273,-117.1234372
199,BACON ST,32.7532071,-117.2456428
200,BAJA DR,32.766762,-117.074707
201,BAJADA RD,33.027184,-117.071693
202,BAKER ST,32.8020975,-117.2048353
203,BALBOA ARMS  DR,32.8231166,-117.17921
204,BALBOA ARMS DR,32.8231166,-117.17921
205,BALBOA AV,32.8222527,-117.129964
206,BALTIC  ST,32.8057571,-117.159096
207,BALTIC ST,32.8057571,-117.159096
208,BANBURY ST,32.671059,-117.060211
209,BANCROFT  ST,32.70829095,-117.09207755
210,BANCROFT ST,32.7455229,-117.1239441
211,BANNOCK AV,32.833069,-117.199112
212,BARKLA ST,32.8427547,-117.2310475
213,BARNETT AV,32.7448275,-117.1995052
214,BARON LN,32.909229,-117.138947
215,BARSTOW ST,32.835247,-117.184624
216,BATIA  ST,32.835247,-117.184624
217,BATISTA  ST,32.814808,-117.1637405
218,BATISTA ST,32.814808,-117.1637405
219,BAUER DR,32.814808,-117.1637405
220,BAYARD ST,32.8073132,-117.2563672
221,BAYVIEW HTS  PL,32.724491,-117.07872
222,BAYVIEW HTS PL,32.724491,-117.07872
223,BAYVIEW HTS WY,32.7241105,-117.0766564
224,BEADNELL WY,32.82094,-117.1716147
225,BEAUMONT AV,32.823635,-117.273842
226,BEAVER LAKE DR,32.800214,-117.020236
227,BEECH  ST,32.7209467,-117.1601225
228,BEECH ST,32.7209467,-117.16012249999999
229,BEGIN ,32.9503518,-116.303614
230,BEGIN DR,32.9503518,-116.303614
231,BEGIN RD,32.9503518,-116.303614
232,BELLE GLADE AV,32.7972938,-117.046159
233,BELLEVUE AV,32.818775,-117.2687
234,BELT ST,32.818775,-117.2687
235,BENSON AV,32.705166,-117.059891
236,BERINO CT,32.86348,-117.221451
237,BERNARDO CENTER DR,33.0216938,-117.0744844
238,BERNARDO CTR DR,33.0216938,-117.0744844
239,BERNARDO HTS (N) PY,33.0127683,-117.0759022
240,BERNARDO LAKES  DR,33.023781,-117.130333
241,BERNARDO LAKES DR,33.023781,-117.130333
242,BERNARDO OAKS CT,33.027863,-117.068916
243,BERNARDO PLAZA CT,33.0199927,-117.0766914
244,BERNWOOD PL,32.9559513,-117.2365857
245,BERTING ST,32.85721805,-117.15755725
246,BERWICK DR,32.823715,-117.164726
